年齢,性別,分類,必要量
50-69,女性,チーズ,5
50-69,女性,卵類,40
50-69,女性,肉類,50
50-69,女性,魚介類,50
50-69,女性,豆類,80
50-69,女性,野菜類,290
50-69,女性,いも及びでん粉類,50
50-69,女性,きのこ類,50
50-69,女性,藻類,10
50-69,女性,果実類,150
50-69,女性,穀物,210
70-,男性,乳類,200
70-,男性,チーズ,5
70-,男性,卵類,40
70-,男性,肉類,60
70-,男性,魚介類,60
70-,男性,豆類,80
70-,男性,野菜類,290
70-,男性,いも及びでん粉類,50
70-,男性,きのこ類,50
70-,男性,藻類,10
70-,男性,果実類,150
70-,男性,穀物,210
70-,女性,乳類,200
70-,女性,チーズ,5
70-,女性,卵類,40
70-,女性,肉類,50
70-,女性,魚介類,50
70-,女性,豆類,80
70-,女性,野菜類,290
70-,女性,いも及びでん粉類,50
70-,女性,きのこ類,50
70-,女性,藻類,10
70-,女性,果実類,150
70-,女性,穀物,150
